hts,desc
04029968,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to general note 15 of the HTSUS"
04029970,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to additional U.S. note 10 to chapter 4 of the HTSUS"
04029990,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, not described in general note 15 or additional U.S. note 10 to chapter 4 of the HTSUS"
2106909998,"Food preparations nesoi, not canned or frozen"
2710193050,Steam cylinder oils
2711120020,"Propane, liquefied, other than with a minimum purity of 90 liquid volume percent"
2804290010,Helium
2804400000,Oxygen
2901220000,Propene (propylene)
2903421000,Difluoromethane (HFC-32)
29034310,"Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1- difluoroethane (HFC-152-a)"
29034410,"Pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-142a) and 1,1,2- trifluoroethane (HFC-143)"
29034510,"1,2,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC- 134)"
29034900,"Other saturated fluorinated derivatives of acyclic hydrocarbons, nesoi"
29035110,"2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO- 1234ze) and (z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)"
29035990,Other unsaturated fluorinated derivatives of acyclic hydrocarbons
2903710100,Chlorodifluoromethane (HCFC-22)
3004909251,"Dermatological agents and local anesthetics put up in measured doses or in forms or packings for retail sale, nesoi"
32081000,Paints and varnishes (including enamels and lacquers) based on polyesters in a nonaqueous medium
32082000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in a nonaqueous medium
32089000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in a nonaqueous medium"
32091000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in an aqueous medium 30
32099000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in an aqueous medium"
32139000,"Artists’, students’ or signboard painters’ colors, in tablets, tubes, jars, bottles, pans or in similar packings, not in sets"
32141000,"Glaziers’ putty, grafting putty, resin cements, caulking compounds and other mastics; painters’ fillings"
33030010,"Floral or flower waters, not containing alcohol"
33030020,"Perfumes and toilet waters, other than floral or flower waters, not containing alcohol"
33030030,"Perfumes and toilet waters, containing alcohol"
33043000,Manicure or pedicure preparations
33049950,"Beauty or make-up preparations and preparations for the care of the skin, excluding medicaments but including sunscreen or sun tan preparations, nesoi"
33051000,Shampoos
33053000,Hair lacquers
33059000,"Preparations for use on the hair, nesoi"
33069000,"Preparations for oral or dental hygiene, including denture fixative pastes and powders, excluding dentifrices"
33071010,"Pre-shave, shaving or after-shave preparations, not containing alcohol"
33071020,"Pre-shave, shaving or after-shave preparations, containing alcohol"
33072000,Personal deodorants and antiperspirants
33074900,"Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi"
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations, nesoi"
34013010,"Organic surface-active products for washing the skin, in liquid or cream, containing any aromatic or modified aromatic surface-active agent, put up for retail"
34013050,"Organic surface-active products and preparations for washing the skin, in liquid or cream form, put up for retail sale, nesoi"
34023190,"Linear alkylbenzene sulfonic acids and their salts, other than aromatic or modified aromatic"
34024990,"Other organic surface-active agents, other than aromatic or modified aromatic, other than anionic, cationic or non-ionic"
34025011,"Preparations of organic surface-active agents, put up for retail sale, containing any aromatic or modified aromatic surface-active agent"
34025051,"Preparations of organic surface-active agents, put up for retail sale, not containing any aromatic or modified aromatic surface-active agent"
34029010,Synthetic detergents put up for retail sale
34029030,"Surface-active, washing, and cleaning preparations containing any aromatic or modified aromatic surface-active agent, put up for retail sale"
34029050,"Surface-active, washing, and cleaning preparations nesoi, put up for retail sale 31"
34031910,Lubricating preparations containing 50 percent or more but less than 70 percent by weight of petroleum oils or of oils obtained from bituminous minerals
34031950,Lubricating preparations containing less than 50% by weight of petroleum oils or of oils from bituminous minerals
34039900,"Lubricating preparations (including lubricant-based preparations), nesoi"
34051000,"Polishes, creams and similar preparations for footwear or leather"
34052000,"Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork"
34054000,Scouring pastes and powders and other scouring preparations
34059000,"Polishes, creams and similar preparations for glass or metal"
35061050,"Products suitable for use as glues or adhesives, nesoi, not exceeding a net weight of 1 kg, put up for retail sale"
35069110,"Adhesive preparations based on rubber or plastics (including artificial resins), optically clear, for flat panel and touchscreen displays"
35069150,Other adhesive preparations based on rubber or plastics (including artificial resins)
35069900,"Prepared glues and other prepared adhesives, excluding adhesives based on rubber or plastics, nesoi"
38085910,Pesticides containing any aromatic or modified aromatic specified in note 1 to chapter 38 of the HTSUS
38085940,Disinfectants specified in note 1 to chapter 38 of the HTSUS
38086110,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content not exceeding 300 g, specified in note 2 to chapter 38 of the HTSUS"
38086150,"Pesticides, nesoi, in packings of a net weight content not exceeding 300 g, specified in note 2 to chapter 38 of the HTSUS"
38086210,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content exceeding 300 g but not exceeding 7.5 kg, specified in note 2 to chapter 38 of the HTSUS"
38086250,"Pesticides, nesoi, in packings of a net weight content exceeding 300 g but not exceeding 7.5kg, specified in note 2 to chapter 38 of the HTSUS"
38086910,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content exceeding 7.5kg, specified in note 2 to chapter 38 of the HTSUS"
38086950,"Pesticides, nesoi, in packings of a net weight content exceeding 7.5kg, specified in note 2 to chapter 38 of the HTSUS"
38089115,"Mixtures of n-[[(chlorophenyl)amino]carbonyl]-2,6-difluorobenzamide and inert substances"
38089125,"Insecticides containing any aromatic or modified aromatic insecticide, nesoi"
38089130,"Insecticides, nesoi, containing an inorganic substance, put up for retail sale"
38089150,"Insecticides, nesoi, for retail sale or as preparations or articles"
38089410,"Disinfectants, containing any aromatic or modified aromatic disinfectant"
38089450,"Disinfectants not subject to subheading note 1 to chapter 38 of the HTSUS, nesoi 32"
38099100,"Finishing agents, dye carriers and like products, nesoi, used in the textile or like industries"
38101000,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials"
38111900,Antiknock preparations based on other than lead compounds
38112100,Additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals
38140010,"Organic composite solvents and thinners containing 5 to 25 percent, by weight of one or more aromatic substances"
38140020,Organic composite solvents and thinners containing more than 25 percent by weight of one or more aromatic substances
38140050,"Organic composite solvents and thinners, nesoi; prepared paint or varnish removers, nesoi"
38200000,Antifreezing preparations and prepared de-icing fluids
3824999397,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
