hts,desc
73101000,"Iron or steel, tanks, casks, drums, cans, boxes and similar containers for any material (other than compressed or liquefied gas), with a capacity of 50 l or more but not over 300 l"
73102100,"Iron or steel, cans for any material (other than compressed or liquefied gas), closed by soldering or crimping, with a capacity of less than 50 l"
73102900,"Iron or steel, cans for any material (other than compressed or liquefied gas), not closed by soldering or crimping, with a capacity of less than 50 l"
73110000,"Iron or steel, containers for compressed or liquefied gas"
73121005,"Stainless steel, stranded wire, not electrically insulated, fitted with fittings or made up into articles"
73121010,"Stainless steel, stranded wire, not electrically insulated, not fitted with fittings or made up into articles"
73121020,"Iron or steel (other than stainless), stranded wire, not electrically insulated, fitted with fittings or made up into articles"
73121030,"Iron or steel (other than stainless), stranded wire, not electrically insulated, not fitted with fittings or made up into articles"
73121050,"Stainless steel, ropes, cables and cordage (other than stranded wire), not electrically insulated, fitted with fittings or made up into articles"
73121060,"Stainless steel, ropes, cables and cordage (other than stranded wire), not electrically insulated, not fitted with fittings or made up into articles"
73121070,"Iron or steel (other than stainless), ropes, cables and cordage (other than stranded wire), not electrically insulated, fitted with fittings or made up into articles"
73121080,"Iron or steel (other than stainless), ropes, cables and cordage, of brass plated wire (other than stranded wire), not electrically insulated, without fittings or articles"
73121090,"Iron or steel (other than stainless), ropes, cables and cordage, other than of brass plate wire (other than stranded wire), not electrically insulated, without fittings or articles"
73129000,"Iron or steel (other than stainless), plaited bands, slings and the like, not electrically insulated"
73130000,"Iron or steel, barbed wire; iron or steel, twisted hoop or single flat wire and loosely twisted double wire, of a kind used for fencing"
73141210,"Stainless steel, woven cloth endless bands for machinery, with meshes not finer than 12 wires to the lineal cm in warp or filling"
73141220,"Stainless steel, woven cloth endless bands for machinery, with meshes finer than 12 wires but not finer than 36 wires to the lineal cm in warp or filling"
73141230,"Stainless steel, Fourdrinier wires for papermaking machines with 94 or more wires to the lineal cm in warp or filling"
73141260,"Stainless steel, Fourdrinier wires for papermaking machines with 36 to 93 wires to the lineal cm in warp or filling 5"
73141290,"Stainless steel, woven cloth endless bands for machinery, nesoi, with meshes finer than 36 wires to the lineal cm in warp or filling"
73141410,"Stainless steel, woven cloth (other than endless bands for machinery), with meshes not finer than 12 wires to the lineal cm in warp or filling"
73141420,"Stainless steel, woven cloth (other than endless bands for machinery), with meshes finer than 12 wires but not finer than 36 wires to the lineal cm in warp or filling"
73141430,"Stainless steel, Fourdrinier wires (other than endless bands) for papermaking machines, with meshes of 94 or more wires to the lineal cm in warp or filling"
73141460,"Stainless steel, Fourdrinier wires (other than endless bands) for papermaking machines, with meshes of 36 to 93 wires to the lineal cm in warp or filling"
73141490,"Stainless steel woven cloth (other than endless band for machinery), nesoi, with meshes finer than 36 wires to the lineal cm in warp or filling"
73141901,"Iron or steel (other than stainless), woven cloth"
73142000,"Iron or steel, grill, netting and fencing, of wire with a maximum cross- sectional dimension of 3 mm or more, welded at the intersection, with mesh size of 100 cm2 or more"
73143110,"Iron or steel, fencing, of wire, welded at the intersection, plated or coated with zinc, whether or not covered with plastic material"
73143150,"Iron or steel, grill and netting, of wire, welded at the intersection, plated or coated with zinc, nesoi"
73143900,"Iron or steel, grill, netting and fencing, of wire, welded at the intersection, not plated or coated with zinc"
73144100,"Iron or steel, grill, netting and fencing, of wire, not welded at the intersection, plated or coated with zinc"
73144200,"Iron or steel, grill, netting and fencing, of wire, not welded at the intersection, coated with plastics"
73144930,"Iron or steel, grill, netting and fencing, of wire, not welded at the intersection, not cut to shape"
73144960,"Iron or steel, grill, netting and fencing, of wire, not welded at the intersection, cut to shape"
73145000,"Iron or steel, expanded metal"
73151100,"Iron or steel, roller chain"
73151200,"Iron or steel, articulated link chain (other than roller chain)"
73151900,"Iron or steel, parts of articulated link chain"
73152010,"Iron or steel, skid chain, not over 8 mm in diameter"
73152050,"Iron or steel, skid chain, over 8 mm in diameter"
73158100,"Iron or steel, stud link chain"
73158210,"Alloy steel, welded link chain, not over 10 mm in diameter"
73158230,"Alloy steel, welded link chain, over 10 mm in diameter"
73158250,"Iron or nonalloy steel, welded link chain, not over 10 mm in diameter"
73158270,"Iron or nonalloy steel, welded link chain, over 10 mm in diameter 6"
73158910,"Iron or steel, chain nesoi, with links of essentially round cross sections, not over 8 mm in diameter"
73158930,"Iron or steel, chain nesoi, with links of essentially round cross sections, over 8 mm in diameter"
73158950,"Iron or steel, chain nesoi"
73159000,"Iron or steel, parts of chain (other than articulated link chain)"
73160000,"Iron or steel, anchors, grapnels and parts thereof"
73170010,"Iron or steel, thumb tacks"
73170020,"Iron or steel, nails, tacks, corrugated nails, staples and similar articles, not threaded, suitable for use in powder-actuated hand tools"
73170030,"Iron or steel, nails, tacks, corrugated nails, staples and similar articles, threaded, suitable for use in powder-actuated hand tools"
73170055,"Iron or steel, nails, tacks, corrugated nails, staples and similar articles, of one piece construction, made of round wire, nesoi"
73170065,"Iron or steel, nails, tacks, corrugated nails, staples and similar articles, of one piece construction, not made of round wire, nesoi"
73170075,"Iron or steel, nails, tacks, corrugated nails, staples and similar articles, of two or more pieces, nesoi"
73181100,"Iron or steel, coach screws"
73181200,"Iron or steel, wood screws (other than coach screws)"
73181300,"Iron or steel, screw hooks and screw rings"
73181410,"Iron or steel, self-tapping screws, with shanks or threads less than 6 mm in diameter"
73181450,"Iron or steel, self-tapping screws, with shanks or threads 6 mm or more in diameter"
73181520,"Iron or steel, bolts and bolts & their nuts or washers, imported in the same shipment"
73181540,"Iron or steel, machine screws (other than cap screws), 9.5 mm or more in length and 3.2 mm in diameter"
73181550,"Iron or steel, threaded studs"
73181560,"Iron or steel, screws and bolts, nesoi, having shanks or threads less than 6 mm in diameter"
73181580,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
73181600,"Iron or steel, nuts"
73181900,"Iron or steel, threaded articles similar to screws, bolts, nuts, coach screws and screw hooks, nesoi"
73182100,"Iron or steel, spring washers and other lock washers"
73182200,"Iron or steel, washers (other than spring washers and other lock washers)"
73182300,"Iron or steel, rivets"
73182400,"Iron or steel, cotters and cotter pins"
73182900,"Iron or steel, nonthreaded articles similar to rivets, cotters, cotter pins, washers and spring washers"
73194020,"Iron or steel, safety pins 7"
73194030,"Iron or steel, dressmakers' or common pins"
73194050,"Iron or steel, pins (other than safety pins, dressmakers’ or common pins)"
73199010,"Iron or steel, sewing, darning or embroidery needles"
73199090,"Iron or steel, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles for use in the hand"
