hts,desc
82159950,"Base metal skimmers, cake-servers, butter-knives, sugar tongs and similar kitchen or tableware, and base metal parts thereof (including parts of forks or spoons)"
83021060,"Hinges, of base metal, other"
83024130,"Base metal door closers (except automatic door closers) suitable for buildings, and base metal parts thereof"
83024160,"Iron or steel, aluminum or zinc mountings, fittings and similar articles, nesoi, suitable for buildings, and base metal pts thereof"
83024230,"Other mountings, fittings and similar articles, suitable for furniture, of"
83024960,"Other mountings, fittings and similar articles, of base metal, other"
83052000,"Base metal staples in strips (e.g., for offices, upholstery, packaging)"
83071060,"Iron or steel flexible tubing, without fittings"
8309900080,"Other stoppers, caps, lids, and other packaging accessories and parts thereof made of steel"
84031000,Central heating boilers (other than those of heading 8402)
84069040,"Parts of steam turbines, blades, rotating or stationary"
84079010,"Spark-ignition rotary or reciprocating internal-combustion piston engines nesoi, installed in agricultural or horticultural machinery or equipment"
84079090,"Spark-ignition rotary or reciprocating internal-combustion piston engines, for machinery or equipment, nesoi"
84109000,"Parts, including regulators, for hydraulic turbines and water wheels"
84118180,"Gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW, other than aircraft"
84122100,"Hydraulic power engines and motors, linear-acting (cylinders)"
84122980,Other hydraulic power engines and motors
8412909070,"Wind turbine blades, imported in accordance with statistical note 2 of chapter 84 to the HTSUS"
8412909075,Wind turbine hubs
84138100,Pumps
8413919055,"Parts of hydraulic fluid power pumps, fluid end blocks"
8413919060,"Parts of hydraulic fluid power pumps, other than fluid end blocks"
8413919096,"Parts of pumps, other"
84143040,Compressors of a kind used in refrigerating equipment
84148016,Other air or gas compressors
84149030,Parts of air or gas compressors 17
84149041,Parts of fans
84151030,"Window- or wall-type air conditioning machines, self-contained"
84151060,"Air-conditioning machines, window- or wall-types, other"
84151090,"Air-conditioning machines, window- or wall-types, other"
84158101,"Other air-conditioning machines, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle"
84158201,"Other air-conditioning machines, incorporating a refrigerating unit"
84158300,"Other air-conditioning machines, not incorporating a refrigerating unit"
84159040,Parts of air-conditioning machines
84159080,Parts of air-conditioning machines
84181000,"Combined refrigerator-freezers, fitted with separate external doors"
84182100,"Refrigerators, household compression-type, electric or other, other than those of subheading 8418.10"
84182920,"Refrigerators, household type, electric or other, other than those of subheading 8418.10, nesoi"
84183000,"Freezers of the chest type, not exceeding 800 l capacity"
84184000,"Freezers of the upright type, not exceeding 900 l capacity"
84189940,"Certain door assemblies for refrigerators, freezers and other refrigerating or freezing equipment"
84198150,"Machinery for making hot drinks or for cooking or heating food, other"
84221100,Dishwashing machines of the household type
84254200,"Jacks and hoists, hydraulic"
84262000,Tower cranes
84264900,"Derricks, cranes and other lifting machinery nesoi, self-propelled, not on tires"
84269900,"Derricks, cranes and other lifting machinery nesoi"
84271040,"Self-propelled works trucks powered by an electric motor, rider-type forklift trucks"
84271080,"Self-propelled works trucks powered by an electric motor, fitted with lifting and handling equipment, nesoi"
84272040,"Self-propelled works trucks not powered by an electric motor, rider-type forklift trucks"
84272080,"Self-propelled works trucks not powered by an electric motor, fitted with lifting and handling equipment, nesoi"
84279000,"Trucks, fitted with lifting or handling equipment, nesoi"
84291100,"Self-propelled bulldozers and angledozers, for track laying"
84291900,"Self-propelled bulldozers and angledozers, other than for track laying"
84292000,Self-propelled graders and levelers
84293000,Self-propelled scrapers
84294000,Self-propelled tamping machines and road rollers
84295110,"Self-propelled front-end shovel loaders, wheel-type"
84295150,"Self-propelled front-end shovel loaders, other than wheel-type"
84295210,"Self-propelled backhoes, shovels, clamshells and draglines with a 360-degree revolving superstructure 18"
84295250,"Self-propelled machinery with a 360-degree revolving superstructure, other than backhoes, shovels, clamshells and draglines"
84295910,"Self-propelled backhoes, shovels, clamshells and draglines not with a 360- degree revolving superstructure"
84295950,"Self-propelled machinery not with a 360-degree revolving superstructure, other than backhoes, shovels, clamshells and draglines"
84312000,Parts suitable for use solely or principally with the machinery of heading
8427,
84313100,"Parts suitable for use solely or principally with passenger or freight elevators other than continuous action, skip hoists or escalators"
84314200,"Bulldozer or angledozer blades suitable for use solely or principally with the machinery of headings 8426, 8429 or 8430"
84314340,Parts for offshore oil and natural gas drilling and production platforms
84314380,"Parts for boring or sinking machinery of headings 8430.41 or 8430.49, nesoi"
84314910,"Parts suitable for use solely or principally with the machinery of heading 8426, nesoi"
84314990,Parts suitable for use solely or principally with the machinery of headings
8429,"or 8430, nesoi"
84321000,Plows for soil preparation or cultivation
84329000,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation; parts of lawn or sports ground rollers"
84331100,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal plane"
84332000,"Mowers nesoi, including cutter bars for tractor mounting"
