HTSUS,Rate
7326.20.0055,25.0
7326.90.10,50.0
7326.90.25,50.0
7326.90.35,25.0
7326.90.45,25.0
7326.90.60,50.0
7326.90.86.05,50.0
7326.90.86.10,50.0
7326.90.86.30,50.0
7326.90.86.35,50.0
7326.90.86.45,50.0
7326.90.86.88,50.0
7326.90.8660,25.0
7326.90.8675,25.0
7326.90.8676,25.0
7326.90.8677,25.0
7614.10.10,50.0
8202.39.0040,25.0
8203.40.60,25.0
8205.59.55,25.0
8205.70.00,25.0
8207.20.0070,25.0
8207.30.6062,25.0
8207.30.6095,25.0
8211.10.00,25.0
8211.91.10,25.0
8211.91.20,25.0
8211.91.25,25.0
8211.91.30,25.0
8211.91.40,25.0
8211.91.50,25.0
8211.91.80,25.0
8211.92.20,25.0
8211.92.40,25.0
8211.92.60,25.0
8211.92.90,25.0
8211.93.00,25.0
8211.94.10,25.0
8211.94.50,25.0
8211.95.10,25.0
8211.95.50,25.0
8211.95.90,25.0
8215.10.00,25.0
8215.20.00,25.0
8215.91.30,25.0
8215.91.60,25.0
8215.91.90,25.0
8215.99.01,25.0
8215.99.05,25.0
8215.99.10,25.0
8215.99.15,25.0
8215.99.20,25.0
8215.99.22,25.0
8215.99.24,25.0
8215.99.26,25.0
8215.99.30,25.0
8215.99.35,25.0
8215.99.40,25.0
8215.99.45,25.0
8215.99.50,25.0
8302.10.60,25.0
8302.41.30,25.0
8302.41.60,25.0
8302.42.30,25.0
8401.40.00,25.0
8407.21.00,25.0
8408.20.10,25.0
8408.20.90,25.0
8409.91.50,25.0
8409.91.92,25.0
8409.91.99,25.0
8409.99.91,25.0
8409.99.92,25.0
8409.99.99,25.0
8417.90.00,25.0
8421.29.00,25.0
8424.10.00,25.0
8424.89.90,25.0
8428.32.00,25.0
8428.33.00,25.0
8428.39.00,25.0
8428.60.00,25.0
8428.70.00,25.0
8428.90.03,25.0
8431.39.00,25.0
8431.41.00,25.0
8454.20.0010,25.0
8454.20.0060,25.0
8455.30.00,25.0
8455.90.40,25.0
8455.90.80,25.0
8457.10.00,25.0
8474.90.00,25.0
8477.10.30,25.0
8477.10.40,25.0
8477.10.90,25.0
8477.90.25,25.0
8477.90.8601,25.0
8479.90.95,25.0
8480.49.0010,25.0
8480.71.8045,25.0
8480.71.8060,25.0
8480.79.9010,25.0
8483.60.80,25.0
8483.90.20,25.0
8501.53.40,25.0
8503.00.45,25.0
8503.00.90,25.0
8504.23.00,25.0
8705.90.00.10,25.0
8705.90.00.20,25.0
8710.00.00,25.0
8711.30.00,25.0
8711.50.00,25.0
8711.60.00,25.0
8714.10.00,25.0
9401.71.00,25.0
9401.79.00,25.0
9403.10.00,25.0
9403.20.00,25.0
9403.99.10,25.0
9403.99.90.10,25.0
9403.99.90.15,25.0
9403.99.90.40,25.0
9403.99.90.45,25.0
9403.99.90.51,25.0
9403.99.90.61,25.0
9405.99.20,25.0
9405.99.40,25.0
9506.91.00,25.0
