HTS,clean_hts,Heading,s301_rate
0207.60.40,02076040,9903.88.15,7.5
0207.60.60,02076060,9903.88.15,7.5
0208.10.00,02081000,9903.88.03,25.0
0208.30.00,02083000,9903.88.15,7.5
0208.40.01,02084001,9903.88.15,7.5
0208.50.00,02085000,9903.88.15,7.5
0208.60.00,02086000,9903.88.15,7.5
0208.90.20,02089020,9903.88.03,25.0
0208.90.25,02089025,9903.88.03,25.0
0208.90.30,02089030,9903.88.15,7.5
0208.90.91,02089091,9903.88.15,7.5
0209.10.00,02091000,9903.88.15,7.5
0209.90.00,02099000,9903.88.15,7.5
0210.11.00,02101100,9903.88.15,7.5
0210.12.00,02101200,9903.88.15,7.5
0210.19.00,02101900,9903.88.03,25.0
0210.20.00,02102000,9903.88.15,7.5
0210.91.00,02109100,9903.88.15,7.5
0210.92.01,02109201,9903.88.15,7.5
0210.93.00,02109300,9903.88.15,7.5
0210.99.20,02109920,9903.88.15,7.5
0210.99.91,02109991,9903.88.15,7.5
0301.11.00,03011100,9903.88.03,25.0
0301.19.00,03011900,9903.88.03,25.0
0301.91.00,03019100,9903.88.03,25.0
0301.92.00,03019200,9903.88.03,25.0
0301.93.02,03019302,9903.88.03,25.0
0301.94.01,03019401,9903.88.03,25.0
0301.95.00,03019500,9903.88.03,25.0
0301.99.03,03019903,9903.88.03,25.0
0302.11.00,03021100,9903.88.03,25.0
0302.13.00,03021300,9903.88.03,25.0
0302.14.00,03021400,9903.88.03,25.0
0302.19.00,03021900,9903.88.03,25.0
0302.21.00,03022100,9903.88.03,25.0
0302.22.00,03022200,9903.88.03,25.0
0302.23.00,03022300,9903.88.03,25.0
0302.24.00,03022400,9903.88.03,25.0
0302.29.01,03022901,9903.88.03,25.0
0302.31.00,03023100,9903.88.03,25.0
0302.32.00,03023200,9903.88.03,25.0
0302.33.00,03023300,9903.88.03,25.0
0302.34.00,03023400,9903.88.03,25.0
0302.35.01,03023501,9903.88.03,25.0
0302.36.00,03023600,9903.88.03,25.0
0302.39.02,03023902,9903.88.03,25.0
0302.41.00,03024100,9903.88.03,25.0
0302.42.00,03024200,9903.88.03,25.0
0302.43.00,03024300,9903.88.03,25.0
0302.44.00,03024400,9903.88.03,25.0
0302.45.11,03024511,9903.88.03,25.0
0302.45.50,03024550,9903.88.03,25.0
0302.46.11,03024611,9903.88.03,25.0
0302.46.50,03024650,9903.88.03,25.0
0302.47.00,03024700,9903.88.03,25.0
0302.49.00,03024900,9903.88.03,25.0
0302.51.00,03025100,9903.88.03,25.0
0302.52.00,03025200,9903.88.03,25.0
0302.53.00,03025300,9903.88.03,25.0
0302.54.11,03025411,9903.88.03,25.0
0302.54.50,03025450,9903.88.03,25.0
0302.55.11,03025511,9903.88.03,25.0
0302.55.50,03025550,9903.88.03,25.0
0302.56.11,03025611,9903.88.03,25.0
0302.56.50,03025650,9903.88.03,25.0
0302.59.11,03025911,9903.88.03,25.0
0302.59.50,03025950,9903.88.03,25.0
0302.71.11,03027111,9903.88.03,25.0
0302.71.50,03027150,9903.88.03,25.0
0302.72.11,03027211,9903.88.03,25.0
0302.72.50,03027250,9903.88.03,25.0
0302.73.11,03027311,9903.88.03,25.0
0302.73.50,03027350,9903.88.03,25.0
0302.74.00,03027400,9903.88.03,25.0
0302.79.11,03027911,9903.88.03,25.0
0302.79.50,03027950,9903.88.03,25.0
0302.81.00,03028100,9903.88.03,25.0
0302.82.00,03028200,9903.88.03,25.0
0302.83.00,03028300,9903.88.03,25.0
0302.84.11,03028411,9903.88.03,25.0
0302.84.50,03028450,9903.88.03,25.0
0302.85.11,03028511,9903.88.03,25.0
0302.85.50,03028550,9903.88.03,25.0
0302.89.11,03028911,9903.88.03,25.0
0302.89.50,03028950,9903.88.03,25.0
0302.91.20,03029120,9903.88.03,25.0
0302.91.40,03029140,9903.88.03,25.0
0302.92.00,03029200,9903.88.03,25.0
0302.99.00,03029900,9903.88.03,25.0
0303.11.00,03031100,9903.88.03,25.0
0303.12.00,03031200,9903.88.03,25.0
0303.13.00,03031300,9903.88.03,25.0
0303.14.00,03031400,9903.88.03,25.0
0303.19.01,03031901,9903.88.03,25.0
0303.23.00,03032300,9903.88.03,25.0
